id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
993499844139536385,https://twitter.com/BlackTerp/status/993499844139536385,Mon May 07 14:36:35 +0000 2018,2018-05-07 14:36:35+00:00,BlackTerp,RT @brentfaiyaz: Slavery is not over. It was rewritten.,retweet,,,,,0,,,,en,,,1516,993245617928355841,brentfaiyaz,367355195,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993499789714214912,https://twitter.com/BlackTerp/status/993499789714214912,Mon May 07 14:36:22 +0000 2018,2018-05-07 14:36:22+00:00,BlackTerp,RT @__TheOutsider: Since I’ve already got started on my Freedom School speal let me just go ahead and post some of my favorite freedom scho…,retweet,,,,,0,,,,en,,,8,993337364557848576,__TheOutsider,269043086,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993498713950687233,https://twitter.com/BlackTerp/status/993498713950687233,Mon May 07 14:32:06 +0000 2018,2018-05-07 14:32:06+00:00,BlackTerp,RT @DoBetterUMD: An an alarming amount of young girls/women in Kenya are faced with the concern of not being able to go to school due to ba…,retweet,,,,,0,,,,en,,,18,992404381189492739,DoBetterUMD,2629124891,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993498690093494272,https://twitter.com/BlackTerp/status/993498690093494272,Mon May 07 14:32:00 +0000 2018,2018-05-07 14:32:00+00:00,BlackTerp,RT @DoBetterUMD: There’s so much more work to be done... there’s always work to be done. But starting and remaining consistent is key ✍🏾 #D…,retweet,,,,,0,,,,en,,,13,992401400314368000,DoBetterUMD,2629124891,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
993430443507830784,https://twitter.com/BlackTerp/status/993430443507830784,Mon May 07 10:00:49 +0000 2018,2018-05-07 10:00:49+00:00,BlackTerp,RT @UMDCSA: #J6 J’ouvert 2018 🎨 https://t.co/2KMMjQ56fX,retweet,,J6,https://twitter.com/UMDCSA/status/993329901821480961/video/1,,0,,,,fr,,False,50,993329901821480961,UMDCSA,172039329,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991575091388534785,https://twitter.com/BlackTerp/status/991575091388534785,Wed May 02 07:08:19 +0000 2018,2018-05-02 07:08:19+00:00,BlackTerp,RT @TamaraLanese: Graduation is that you? Almost there... #20DAYS #UMDGRAD 💃🏾 https://t.co/jB5oWOPuqV,retweet,,20DAYS UMDGRAD,https://twitter.com/TamaraLanese/status/991084598057750533/photo/1 https://twitter.com/TamaraLanese/status/991084598057750533/photo/1,,0,,,,en,,False,25,991084598057750533,TamaraLanese,190080346,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991575041107111936,https://twitter.com/BlackTerp/status/991575041107111936,Wed May 02 07:08:07 +0000 2018,2018-05-02 07:08:07+00:00,BlackTerp,RT @StruttersUMD: Block✨Show✨mood: https://t.co/U0IELNSAeO,retweet,,,https://twitter.com/StruttersUMD/status/991128899009564672/photo/1,,0,,,,en,,False,17,991128899009564672,StruttersUMD,965276842583347200,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991575021628870656,https://twitter.com/BlackTerp/status/991575021628870656,Wed May 02 07:08:02 +0000 2018,2018-05-02 07:08:02+00:00,BlackTerp,RT @RAMSEY_whodat: @BlackTerp @UMDCSA @SEE_UMD Come support @DrRobertChiles and my history class as we host the 2nd annual food festival ht…,retweet,,,,,0,,,,en,,,1,991501753639165952,RAMSEY_whodat,317419763,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991574758285340672,https://twitter.com/BlackTerp/status/991574758285340672,Wed May 02 07:06:59 +0000 2018,2018-05-02 07:06:59+00:00,BlackTerp,"RT @UMDSigmas: EPsi still winning! On Friday, May 4th, our very own @WallzBaba will be performing at UMD’s annual Art Attack and opening fo…",retweet,,,,,0,,,,en,,,26,991043774695567361,UMDSigmas,153085878,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991119391071883264,https://twitter.com/BlackTerp/status/991119391071883264,Tue May 01 00:57:31 +0000 2018,2018-05-01 00:57:31+00:00,BlackTerp,Anddddd it’s a wrap!! See y’all on 5/5/18 at 12pm for @TheRealNPHC Block Show! 🤝 Thank you so much to all who came out to BSU Elections today and all of our lovely candidates! Results will be announced this Saturday! https://t.co/054d2RTU5V,original,,,https://twitter.com/BlackTerp/status/991119391071883264/photo/1,,7,,,,en,,False,6,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991095577621553153,https://twitter.com/BlackTerp/status/991095577621553153,Mon Apr 30 23:22:54 +0000 2018,2018-04-30 23:22:54+00:00,BlackTerp,RT @jane_aneee: make sure you support your fave ladies tmm💃🏾✨ https://t.co/O20fIlIDJN,retweet,,,https://twitter.com/jane_aneee/status/990989886416216064/photo/1,,0,,,,en,,False,6,990989886416216064,jane_aneee,2727762533,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
991062903741534208,https://twitter.com/BlackTerp/status/991062903741534208,Mon Apr 30 21:13:03 +0000 2018,2018-04-30 21:13:03+00:00,BlackTerp,https://t.co/vKB4Lw29QD,original,,,,https://www.pscp.tv/w/bbd-XzF4bmpyeXJ6a2tOS1l8MVprS3pWcmJldnFLdqQC1-7Yo2RhRhKA_1HVpzipsMdSitrzvFD9cV_y3PNn,0,,,,und,,False,0,,,,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990892818003644417,https://twitter.com/BlackTerp/status/990892818003644417,Mon Apr 30 09:57:12 +0000 2018,2018-04-30 09:57:12+00:00,BlackTerp,"RT @UMDCSA: “yall still having j’ouvert?” 🤗
5.6.18 https://t.co/UCRYLQbBZd",retweet,,,https://twitter.com/UMDCSA/status/990742361113268224/photo/1,,0,,,,en,,False,77,990742361113268224,UMDCSA,172039329,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990642647512514562,https://twitter.com/BlackTerp/status/990642647512514562,Sun Apr 29 17:23:07 +0000 2018,2018-04-29 17:23:07+00:00,BlackTerp,RT @UMCPASA: #TheFutureisFemale,retweet,,TheFutureisFemale,,,0,,,,und,,,19,989942623254216705,UMCPASA,121576899,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990642628499787778,https://twitter.com/BlackTerp/status/990642628499787778,Sun Apr 29 17:23:02 +0000 2018,2018-04-29 17:23:02+00:00,BlackTerp,RT @ASPACUMD: Happy Freedom Day to South Africa! ✊🏿 🇿🇦 https://t.co/CnqY7j7Nsl,retweet,,,https://twitter.com/ASPACUMD/status/989885177722818566/photo/1 https://twitter.com/ASPACUMD/status/989885177722818566/photo/1 https://twitter.com/ASPACUMD/status/989885177722818566/photo/1 https://twitter.com/ASPACUMD/status/989885177722818566/photo/1,,0,,,,en,,False,9,989885177722818566,ASPACUMD,950387159059623938,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990642585730539522,https://twitter.com/BlackTerp/status/990642585730539522,Sun Apr 29 17:22:52 +0000 2018,2018-04-29 17:22:52+00:00,BlackTerp,RT @RAMSEY_whodat: I noticed something when I get nervous or I'm working hard like physically working.  I start talking really fast lol but…,retweet,,,,,0,,,,en,,,1,990641640137281538,RAMSEY_whodat,317419763,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990642577132138499,https://twitter.com/BlackTerp/status/990642577132138499,Sun Apr 29 17:22:50 +0000 2018,2018-04-29 17:22:50+00:00,BlackTerp,♥️♥️♥️♥️ Much love! https://t.co/0n50VaduJX,quote,,,,https://twitter.com/ramsey_whodat/status/990641640137281538,0,,,,en,,False,0,990641640137281538,RAMSEY_whodat,317419763,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990642469950849024,https://twitter.com/BlackTerp/status/990642469950849024,Sun Apr 29 17:22:24 +0000 2018,2018-04-29 17:22:24+00:00,BlackTerp,"Also, let this tweet serve as a reminder that EESA’s biggest and baddest event is tonight at 7pm in Grand Ballroom! We know that y’all have been out and about all weekend, but please support and show out (after getting some work done of course)🧡 Tickets are $7! https://t.co/pmOrVt43U5",original,,,https://twitter.com/BlackTerp/status/990642469950849024/photo/1,,7,,,,en,,False,8,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990641840293629954,https://twitter.com/BlackTerp/status/990641840293629954,Sun Apr 29 17:19:54 +0000 2018,2018-04-29 17:19:54+00:00,BlackTerp,https://t.co/4BTjNPaFIV https://t.co/yK8IipX7iA,reply,,,https://twitter.com/BlackTerp/status/990641840293629954/photo/1,https://orgsync.com/64477/chapter,0,BlackTerp,990641563788304387,30891861,und,,False,1,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990641563788304387,https://twitter.com/BlackTerp/status/990641563788304387,Sun Apr 29 17:18:48 +0000 2018,2018-04-29 17:18:48+00:00,BlackTerp,"Hey fam! BSU Elections are tomorrow and to vote you MUST be a recognized as a member of BSU on orgsync! It takes t-minus 2 seconds, no sice! Please come support all of the lovely candidates running tomorrow at 5 in Nyumburu! 🌻 https://t.co/4BTjNPaFIV",original,,,,https://orgsync.com/64477/chapter,2,,,,en,,False,4,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990640470463340551,https://twitter.com/BlackTerp/status/990640470463340551,Sun Apr 29 17:14:28 +0000 2018,2018-04-29 17:14:28+00:00,BlackTerp,"RT @ASPACUMD: We know y’all enjoyed yourselves yesterday, but the weekend isn’t over yet! EESA’s gotchu with the move on Sunday 📍 https://t…",retweet,,,,,0,,,,en,,,8,990243542684651521,ASPACUMD,950387159059623938,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990640348950073344,https://twitter.com/BlackTerp/status/990640348950073344,Sun Apr 29 17:13:59 +0000 2018,2018-04-29 17:13:59+00:00,BlackTerp,RT @SSAUMD: Our friends @UMCP_EESA are hosting their annual cultural show this Sunday!! Make sure to come out and support for a great time…,retweet,,,,,0,,,,en,,,9,989948287015940096,SSAUMD,917522126852317184,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990640136886112256,https://twitter.com/BlackTerp/status/990640136886112256,Sun Apr 29 17:13:08 +0000 2018,2018-04-29 17:13:08+00:00,BlackTerp,"RT @ASPACUMD: EESA has a lot planned for you guys on Sunday! 

☑️Food 🍛
☑️Dance 💃🏿
☑️Charity 🙏🏿

What more do you need? Get your tickets so…",retweet,,,,,0,,,,en,,,19,989605677730553857,ASPACUMD,950387159059623938,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990640121744646145,https://twitter.com/BlackTerp/status/990640121744646145,Sun Apr 29 17:13:04 +0000 2018,2018-04-29 17:13:04+00:00,BlackTerp,RT @AllEyezOfficial: @BlackTerp @thatgirlnwando https://t.co/SjXWONMNO9,retweet,,,,https://orgsync.com/64477/chapter,0,,,,und,,False,2,989924447632142336,AllEyezOfficial,982323472159395842,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990640110432653312,https://twitter.com/BlackTerp/status/990640110432653312,Sun Apr 29 17:13:02 +0000 2018,2018-04-29 17:13:02+00:00,BlackTerp,Good looks!🤝 https://t.co/h7LWQTkwEs,quote,,,,https://twitter.com/alleyezofficial/status/989924447632142336,0,,,,en,,False,0,989924447632142336,AllEyezOfficial,982323472159395842,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
990640039444041728,https://twitter.com/BlackTerp/status/990640039444041728,Sun Apr 29 17:12:45 +0000 2018,2018-04-29 17:12:45+00:00,BlackTerp,RT @TamaraLanese: Speaking of positions... @BlackTerp got elections on Monday and for everyone running... hope you prepared 🤗,retweet,,,,,0,,,,en,,,2,989144481160155138,TamaraLanese,190080346,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",30891861,Mon Apr 13 16:03:13 +0000 2009,False,Keeping it real at University of Maryland since 1968. Stay connected to be notified about us! https://t.co/LRb42c692F @UMCP_BAN @UMD_BSU_FC #BlackTerps #BSUmondays,2180,3808,1207,56,"College Park, MD",UMD | BSU,16318,Eastern Time (US & Canada),https://bit.ly/2GNyUX9,False
